Function; Size; Time; Result
2; 1.67772e+07; 24482; 681212
1; 1.67772e+07; 49120; -2.3712e+07
2; 1.67772e+07; 24838; -2.3712e+07
1; 1.67772e+07; 49086; 2.01938e+07
2; 1.67772e+07; 24885; 2.01938e+07
1; 1.34218e+08; 392212; 3.40218e+07
2; 1.34218e+08; 199593; 3.40218e+07
1; 1.34218e+08; 393230; -6.48166e+07
2; 1.34218e+08; 198673; -6.48166e+07
1; 1.34218e+08; 392637; 1.14872e+07
2; 1.34218e+08; 199076; 1.14872e+07
1; 1.34218e+08; 393700; -1.63478e+07
2; 1.34218e+08; 197696; -1.63478e+07
1; 1.34218e+08; 393317; -5.47436e+07
2; 1.34218e+08; 197800; -5.47436e+07
1; 1.34218e+08; 395069; 2.57518e+07
2; 1.34218e+08; 201602; 2.57518e+07
1; 1.34218e+08; 393632; 3.36255e+07
2; 1.34218e+08; 196252; 3.36255e+07
1; 1.34218e+08; 392434; -4.00982e+07
2; 1.34218e+08; 198176; -4.00982e+07
1; 1.34218e+08; 394540; -3.20616e+06
2; 1.34218e+08; 196547; -3.20616e+06
1; 1.34218e+08; 391262; 2.02632e+07
2; 1.34218e+08; 198496; 2.02632e+07
